000001.SS,^GSPC,^N225,^STOXX,Index
3222.166992,2349.01001,18355.25977,380.5799866,1252.636234
3196.712891,2342.189941,18418.58984,376.3500061,1272.697644
3170.687012,2338.169922,18432.19922,377.2399902,1268.253421
3172.100098,2355.840088,18430.49023,378.0599976,1289.087055
3173.150879,2348.689941,18620.75,378.1199951,1281.502249
3129.531006,2374.149902,18875.88086,386.0899963,1315.147026
3134.566895,2388.610107,19079.33008,386.9100037,1330.593991
3140.846924,2387.449951,19289.42969,388.730011,1348.648355
3152.187012,2388.77002,19251.86914,387.7900085,1394.519682
3154.657959,2384.199951,19196.74023,387.0899963,1400.980683
3154.657959,2388.330078,19310.51953,387.0899963,1513.814672
3143.711914,2391.169922,19445.69922,389.5299988,1545.978748
3135.345947,2388.129883,19445.69922,389.3699951,1590.850767
3127.368896,2389.52002,19445.69922,391.980011,1658.045044
3103.038086,2399.290039,19445.69922,394.5400085,1676.115349
3078.613037,2399.379883,19895.69922,394.0400085,1843.728579
3080.5271,2396.919922,19843,395.8099976,1880.105888
3052.784912,2399.629883,19900.08984,396.4500122,1908.617006
3061.5,2394.439941,19961.55078,394.3900146,1969.167345
3083.512939,2390.899902,19883.90039,395.6300049,1840.350294
3090.229004,2402.320068,19869.84961,395.9700012,1856.210255
3112.964111,2400.669922,19919.82031,395.9100037,1847.215654
3104.441895,2357.030029,19814.88086,391.1400146,1954.354763
3090.138916,2365.719971,19553.85938,389.1900024,2013.913927
3090.631104,2381.72998,19590.75977,391.5100098,2144.934454
3075.676025,2394.02002,19678.2793,391.1400146,2373.041904
3061.947021,2398.419922,19613.2793,392.019989,2534.484016
3064.075928,2404.389893,19742.98047,392.3699951,2668.139297
3107.831055,2415.070068,19813.13086,392.3699951,2509.32618
3110.059082,2415.820068,19686.83984,391.3500061,2386.571222
3110.059082,2415.820068,19682.57031,391.25,2475.731604
3110.059082,2412.909912,19677.84961,390.5,2431.522966
3117.177979,2411.800049,19650.57031,389.9899902,2542.376518
3102.623047,2430.060059,19860.0293,391.6600037,2658.922281
3105.540039,2439.070068,20177.2793,392.5499878,2741.269743
3091.656006,2436.100098,20170.82031,392.5499878,2966.117363
3102.125977,2429.330078,19979.90039,389.3999939,3158.216955
3140.324951,2433.139893,19984.61914,389.1799927,3018.625626
3150.333984,2433.790039,19909.25977,389.1499939,3097.498003
3158.399902,2431.77002,20013.25977,390.3900146,3135.228659
3139.876953,2429.389893,19908.58008,386.6199951,3090.623373
3153.74292,2440.350098,19898.75,388.75,3145.199907
3130.674072,2437.919922,19883.51953,387.5799866,2895.647827
3132.486084,2432.459961,19831.82031,386.0499878,2856.733192
3123.166016,2433.149902,19943.25977,388.6000061,2924.487549
3144.374023,2453.459961,20067.75,391.9400024,3009.976997
3140.013916,2437.030029,20230.41016,389.2099915,3128.011444
3156.211914,2435.610107,20138.78906,388.5,3073.759605
3147.452881,2434.5,20110.50977,388.5299988,3089.493813
3157.873047,2438.300049,20132.66992,387.6199951,3133.984425
3185.444092,2439.070068,20153.34961,389.0499878,2792.273739
3191.197021,2419.379883,20225.08984,385.980011,2886.079464
3173.200928,2440.689941,20130.41016,385.8200073,2945.56654
3188.062988,2419.699951,20220.30078,380.6600037,2883.268364
3192.427002,2423.409912,20033.42969,379.3699951,2816.110374
3195.912109,2429.01001,20055.80078,383.4100037,2893.38327
3182.803955,2429.01001,20032.34961,382.2999878,2930.277302
3207.134033,2432.540039,20081.63086,382.9899902,2923.958477
3212.444092,2409.75,19994.06055,380.4299927,2930.239368
3217.957031,2425.179932,19929.08984,380.1799927,2811.22641
3212.63208,2427.429932,20080.98047,381.6400146,2634.493454
3203.038086,2425.530029,20195.48047,379.1499939,2580.524845
3197.543945,2443.25,20098.38086,384.8999939,2678.365292
3218.163086,2447.830078,20099.81055,386.1400146,2613.960705
3222.416992,2459.27002,20118.85938,386.8399963,2475.80479
3176.465088,2459.139893,20118.85938,386.8599854,2464.503609
3187.566895,2460.610107,19999.91016,382.5799866,2597.573288
3230.976074,2473.830078,20020.85938,385.5400085,2513.997334
3244.86499,2473.449951,20144.58984,384.0700073,3089.880798
3237.981934,2472.540039,20099.75,380.1600037,2931.828003
3250.599121,2469.909912,19975.66992,379.230011,3023.976604
3243.688965,2477.129883,19955.19922,380.769989,2825.431286
3247.675049,2477.830078,20050.16016,382.7399902,2775.632652
